4,TYPE,data,data,data
6,TYPE,i32,i32,i32
9,TYPE,i64,i64,i64
18,TYPE,FILE,FILE,FILE
20,TYPE,_IO_FILE,_IO_FILE,_IO_FILE
24,TYPE,i8*,i8*,i8*
47,TYPE,_IO_marker*,_IO_marker*,_IO_marker*
50,TYPE,_IO_FILE*,_IO_FILE*,_IO_FILE*
59,TYPE,i16,i16,i16
62,TYPE,i8,i8,i8
65,TYPE,[1 x i8],[1 x i8],[1 x i8]
72,TYPE,_IO_codecvt*,_IO_codecvt*,_IO_codecvt*
75,TYPE,_IO_wide_data*,_IO_wide_data*,_IO_wide_data*
86,TYPE,[20 x i8],[20 x i8],[20 x i8]
314,TYPE,data*,data*,data*
316,TYPE,data**,data**,data**
318,TYPE,"_IO_FILE* (i8*, i8*)","_IO_FILE* (i8*, i8*)","_IO_FILE* (i8*, i8*)"
320,TYPE,i8**,i8**,i8**
322,TYPE,ANY,ANY,ANY
324,TYPE,"i32 (data*, data*)","i32 (data*, data*)","i32 (data*, data*)"
326,TYPE,void,void,void
329,TYPE,"void (metadata, metadata, metadata)","void (metadata, metadata, metadata)","void (metadata, metadata, metadata)"
331,TYPE,metadata,metadata,metadata
333,TYPE,void (i32),void (i32),void (i32)
335,TYPE,[2 x i8],[2 x i8],[2 x i8]
337,TYPE,i64*,i64*,i64*
341,TYPE,i32*,i32*,i32*
344,TYPE,_IO_FILE**,_IO_FILE**,_IO_FILE**
346,TYPE,i1,i1,i1
348,TYPE,double,double,double
